t1B1c1, t1B1c1, t1C1c1, t1C1c1, t1D1c1, t1D1c1, t1E1c1, t1E1c1, t1F1c1, t1F1c1, t1G1c1, t1G1c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1692.84, 0.03694062, 1692.84, 0.00012197, 1692.84, -0.00073187, 1692.84, -0.00273155, 1692.84, -0.0009248, 1692.84, -0.00048222, 
1693.04, 0.03724855, 1693.04, 0.00036971, 1693.04, -0.00046742, 1693.04, -0.00306014, 1693.04, -0.00126422, 1693.04, -0.00052754, 
1693.24, 0.03814986, 1693.24, 0.00124977, 1693.24, -0.00041627, 1693.24, -0.00292608, 1693.24, -0.00060805, 1693.24, -0.00060884, 
1693.44, 0.03899356, 1693.44, 0.00203864, 1693.44, 0.00047712, 1693.44, -0.00195222, 1693.44, -0.00019648, 1693.44, 0.00040683, 
1693.64, 0.03933797, 1693.64, 0.00257986, 1693.64, 0.00110747, 1693.64, -0.00164049, 1693.64, 0.00014274, 1693.64, 0.00073002, 
1693.84, 0.03925348, 1693.84, 0.00309968, 1693.84, 0.00149961, 1693.84, -0.0013197, 1693.84, 0.00018016, 1693.84, 0.00094793, 
1694.04, 0.03952985, 1694.04, 0.00304762, 1694.04, 0.00201766, 1694.04, -0.00116934, 1694.04, 0.00048291, 1694.04, 0.0012122, 
1694.24, 0.03990268, 1694.24, 0.00388399, 1694.24, 0.00283323, 1694.24, -0.0012244, 1694.24, 0.00096933, 1694.24, 0.00189532, 
1694.44, 0.04080128, 1694.44, 0.00400974, 1694.44, 0.0035717, 1694.44, -0.00105017, 1694.44, 0.00185936, 1694.44, 0.00225168, 
1694.64, 0.0405566, 1694.64, 0.00397649, 1694.64, 0.00325195, 1694.64, -0.00055482, 1694.64, 0.00223816, 1694.64, 0.00245392, 
1694.84, 0.04034631, 1694.84, 0.00308965, 1694.84, 0.00232393, 1694.84, -0.00108738, 1694.84, 0.00179575, 1694.84, 0.00119315, 
1695.04, 0.03976859, 1695.04, 0.00239938, 1695.04, 0.00208402, 1695.04, -0.00170286, 1695.04, 0.00119524, 1695.04, 0.00039077, 
1695.24, 0.03921006, 1695.24, 0.00184411, 1695.24, 0.00127972, 1695.24, -0.00175416, 1695.24, 0.00077893, 1695.24, -0.00056133, 
1695.44, 0.03883426, 1695.44, 0.00198747, 1695.44, 0.00039511, 1695.44, -0.00211278, 1695.44, -0.00022793, 1695.44, -0.00147168, 
1695.64, 0.03892753, 1695.64, 0.00161475, 1695.64, -0.00058821, 1695.64, -0.00194671, 1695.64, -0.00064179, 1695.64, -0.00227674, 
1695.84, 0.03865633, 1695.84, 0.00150235, 1695.84, -0.00098275, 1695.84, -0.00121133, 1695.84, -0.00110849, 1695.84, -0.00206667, 
1696.04, 0.03903719, 1696.04, 0.00137496, 1696.04, -0.00081617, 1696.04, -0.00079096, 1696.04, -0.00100754, 1696.04, -0.00130983, 
1696.24, 0.03863299, 1696.24, 0.00149017, 1696.24, -0.0013794, 1696.24, -0.00101176, 1696.24, -0.00143088, 1696.24, -0.00101398, 
1696.44, 0.03859971, 1696.44, 0.00137125, 1696.44, -0.00183122, 1696.44, -0.00149535, 1696.44, -0.00117926, 1696.44, -0.00154159, 
1696.64, 0.03824616, 1696.64, 0.00126666, 1696.64, -0.00199958, 1696.64, -0.0017547, 1696.64, -0.00150835, 1696.64, -0.00153534, 
1696.84, 0.03802215, 1696.84, 0.00189864, 1696.84, -0.00199977, 1696.84, -0.00162687, 1696.84, -0.00118277, 1696.84, -0.00131851, 
1697.04, 0.03825479, 1697.04, 0.0026543, 1697.04, -0.00242599, 1697.04, -0.00197599, 1697.04, -0.00092216, 1697.04, -0.00108351, 
1697.24, 0.03934327, 1697.24, 0.00365957, 1697.24, -0.00138252, 1697.24, -0.00077159, 1697.24, -0.00008058, 1697.24, -0.00011949, 
1697.44, 0.03973545, 1697.44, 0.00433398, 1697.44, -0.00008102, 1697.44, 0.00025061, 1697.44, 0.00072211, 1697.44, 0.00104152, 
1697.64, 0.03945352, 1697.64, 0.0044817, 1697.64, 0.00066109, 1697.64, 0.00015276, 1697.64, 0.00090468, 1697.64, 0.00101673, 
