 Data Alignment: None,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 
X Values, A1, B1, C1, D1, E1, F1, G1, A2, B2, C2, D2, E2, F2, G2, 
1691.03,-0.13739066,-0.06987754,-0.10375522,-0.10593595,-0.10145314,-0.07558224,-0.08535626,-0.17904194,-0.18862119,-0.20319903,-0.19103029,-0.20022997,-0.19809824,-0.16677205, 
1691.24,-0.14268337,-0.06990065,-0.10553012,-0.10403139,-0.10555054,-0.08144464,-0.0843435,-0.18045813,-0.18655756,-0.20106649,-0.19179632,-0.20231526,-0.19698885,-0.16845408, 
1691.42,-0.1397153,-0.06765997,-0.10451093,-0.10682306,-0.10286091,-0.07953676,-0.08621635,-0.17815785,-0.18659097,-0.20439726,-0.1921149,-0.19980805,-0.19442549,-0.16609035, 
1691.63,-0.13874961,-0.07154164,-0.10142908,-0.10855388,-0.101835,-0.07927123,-0.08414038,-0.18019235,-0.19034836,-0.20562051,-0.19002298,-0.19878426,-0.19627589,-0.16433433, 
1691.85,-0.13853736,-0.06880616,-0.10220551,-0.10358617,-0.10068326,-0.07917158,-0.07827574,-0.1791607,-0.18719408,-0.20012386,-0.193748,-0.20088317,-0.19556174,-0.16622661, 
1692.03,-0.14355594,-0.07175292,-0.09905679,-0.1044839,-0.10348047,-0.0793704,-0.08619782,-0.17775767,-0.18806839,-0.20142849,-0.19360383,-0.19656315,-0.19461,-0.16762018, 
1692.24,-0.13814485,-0.06705011,-0.10470187,-0.10234327,-0.1005577,-0.07489399,-0.08216032,-0.17923662,-0.18678083,-0.20331652,-0.18928838,-0.20069796,-0.19769694,-0.1641836, 
1692.44,-0.13997671,-0.07188311,-0.10419986,-0.10921253,-0.10315453,-0.08025613,-0.08207421,-0.18066947,-0.18651545,-0.20257528,-0.19080471,-0.20260961,-0.19699384,-0.16614972, 
1692.63,-0.13909669,-0.06871869,-0.10355882,-0.10659552,-0.10349877,-0.07955475,-0.0904652,-0.18184128,-0.19053452,-0.20173195,-0.19152577,-0.19947435,-0.19929439,-0.16657482, 
1692.84,-0.1369448,-0.06882995,-0.10253679,-0.10311069,-0.1051266,-0.07816035,-0.08348802,-0.17991637,-0.18845788,-0.2049174,-0.19318998,-0.19941196,-0.19488594,-0.16549574, 
1693.03,-0.14118995,-0.06416397,-0.10362686,-0.10845663,-0.10063877,-0.08116205,-0.08011378,-0.18019404,-0.18488321,-0.20433578,-0.19175395,-0.2003801,-0.19564077,-0.16294284, 
1693.25,-0.13862264,-0.06812415,-0.09797072,-0.10867925,-0.10292456,-0.08475608,-0.08241803,-0.1807353,-0.1878902,-0.20511085,-0.1929716,-0.19949742,-0.19379565,-0.16407947, 
1693.44,-0.13887876,-0.06572256,-0.10356581,-0.10473785,-0.10051028,-0.08015772,-0.08224445,-0.18048449,-0.18828498,-0.20220247,-0.18974204,-0.20170915,-0.19856592,-0.16271946, 
1693.62,-0.14369851,-0.06487429,-0.10149976,-0.10915945,-0.10020349,-0.08086283,-0.07822084,-0.18109673,-0.18551017,-0.19994086,-0.1924347,-0.20083092,-0.19417675,-0.16596505, 
1693.84,-0.14173448,-0.05968434,-0.10207537,-0.10713071,-0.10358024,-0.07998639,-0.08088692,-0.17913285,-0.18437323,-0.2018217,-0.19325125,-0.20102216,-0.19822957,-0.16856864, 
1694.04,-0.1415755,-0.06721788,-0.10364456,-0.10574616,-0.10809938,-0.07940132,-0.08282991,-0.18073361,-0.18596949,-0.20330469,-0.19478974,-0.20100886,-0.19747889,-0.16589344, 
1694.23,-0.13927554,-0.06648552,-0.1010309,-0.10437294,-0.10268572,-0.07653087,-0.08604231,-0.17579153,-0.18642384,-0.20305191,-0.19193032,-0.19890031,-0.19618601,-0.16357034, 
1694.43,-0.13921186,-0.06377483,-0.09818336,-0.10624014,-0.10634764,-0.07370085,-0.08264408,-0.17973433,-0.18572637,-0.20094985,-0.19423439,-0.2005956,-0.1930971,-0.16548833, 
