 Data Alignment: None,,,,,,,,,,,,,,,,,
 Data Alignment Step: 0,,,,,,,,,,,,,,,,,
C:\Users\Labuser\Desktop\Laras\20230125_AR2G_1OLD_INVERSE\Experiment_1, 230125_001.frd, 230125_002.frd, 230125_003.frd, 230125_004.frd, 230125_005.frd, 230125_006.frd, 230125_007.frd, 230125_008.frd, 230125_009.frd, 230125_010.frd, 230125_011.frd, 230125_012.frd, 230125_013.frd, 230125_014.frd, 230125_015.frd, 230125_016.frd, 
X Values, A3, B3, C3, D3, E3, F3, G3, H3, A4, B4, C4, D4, E4, F4, G4, H4, 
1698.63,0.31993219,0.64349711,0.33688536,0.33203176,0.2734274,0.3845875,0.29393595,-0.17441165,-0.10038345,-0.07997146,-0.11676161,-0.14170375,-0.14437369,-0.16049208,-0.12246379,-0.25528759, 
1698.83,0.32137629,0.64800805,0.34072965,0.32740983,0.27515212,0.38248727,0.29077819,-0.17287749,-0.10423592,-0.08119185,-0.11477116,-0.14119576,-0.14343846,-0.16141164,-0.11922977,-0.2521674, 
1699.02,0.32091966,0.64899272,0.34046361,0.3327044,0.27670655,0.38860357,0.29095772,-0.17558211,-0.1027503,-0.07994585,-0.12091826,-0.14426021,-0.14608979,-0.15708275,-0.12009632,-0.25690398, 
1699.22,0.32229289,0.6463837,0.34081358,0.33309764,0.27397612,0.38710842,0.29449379,-0.17201254,-0.10005073,-0.0814236,-0.11862611,-0.14272937,-0.14895903,-0.16317387,-0.11787932,-0.25380486, 
1699.43,0.32013759,0.64751863,0.33999348,0.3367255,0.27016926,0.38614228,0.29019618,-0.17232744,-0.09694864,-0.08021315,-0.11745574,-0.14315596,-0.14883949,-0.15863183,-0.12097647,-0.25543535, 
1699.63,0.32327414,0.64867651,0.33698273,0.33622015,0.27045637,0.38622391,0.29018921,-0.17508164,-0.10090844,-0.08383066,-0.11854644,-0.14587952,-0.1437411,-0.16345936,-0.12134472,-0.25437921, 
1699.83,0.32500035,0.65085697,0.33913791,0.33222717,0.27415973,0.39015865,0.29368332,-0.17273265,-0.09976976,-0.07839408,-0.1176231,-0.14764711,-0.14652838,-0.16073097,-0.11940494,-0.25618771, 
1700.03,0.3212418,0.65366197,0.34167466,0.33585763,0.27341402,0.38764352,0.29480997,-0.17361623,-0.09813879,-0.08417051,-0.11623605,-0.14141387,-0.1497466,-0.16314791,-0.11839379,-0.25459391, 
1700.22,0.32001561,0.64781874,0.33739722,0.33641443,0.27240351,0.3886649,0.29475814,-0.17072482,-0.09886873,-0.07993008,-0.11549758,-0.14275588,-0.14442648,-0.16363464,-0.11808442,-0.25411287, 
1700.42,0.31945288,0.65105438,0.33923826,0.33243582,0.27472597,0.38648224,0.29058993,-0.17323397,-0.1012074,-0.08073173,-0.11429506,-0.14665313,-0.14862353,-0.16318598,-0.11823165,-0.25557104, 
1700.63,0.32124069,0.65486348,0.33953318,0.33456582,0.27182651,0.38745874,0.29245135,-0.17134555,-0.10460117,-0.08074567,-0.11742544,-0.1415122,-0.14546092,-0.16046117,-0.11765491,-0.25375468, 
