<CorrectionSettings>
  <RootSensorByLocation>false</RootSensorByLocation>
  <SensorReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SensorReference>
  <SampleReference>
    <Plate Index="0" Size="96">
      <RefWells />
      <RefLoadWells />
      <RefDetectionWells />
      <ExcludeWells />
    </Plate>
    <GroupRefByPlate>false</GroupRefByPlate>
  </SampleReference>
  <AlignmentSettings>
    <AlignYCorrection>AverageBaseline</AlignYCorrection>
    <AlignYStart>115.007006835938</AlignYStart>
    <AlignYEnd>120.007006835938</AlignYEnd>
    <InterstepCorrection>None</InterstepCorrection>
    <InterstepCorrectionTime>0</InterstepCorrectionTime>
    <SavitzkyGolayFilter>true</SavitzkyGolayFilter>
  </AlignmentSettings>
</CorrectionSettings>
 Data Alignment: None
 Data Alignment Step: 0
t1A3c1, t1A3c1, t1B3c1, t1B3c1, t1C3c1, t1C3c1, t1D3c1, t1D3c1, t1E3c1, t1E3c1, t1F3c1, t1F3c1, t1G3c1, t1G3c1, t1H3c1, t1H3c1, 
Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, Sample Loc:, Sample ID:, 
p1A6, , p1B6, , p1C6, , p1D6, , p1E6, , p1F6, , p1G6, , p1H6, , 
X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, X Values, Y Values, 
1692.82, -0.00010545, 1692.82, 0.21443395, 1692.82, 0.006635, 1692.82, 0.00349584, 1692.82, 0.00211555, 1692.82, 0.00046496, 1692.82, -0.0006092, 1692.82, 0.00122508, 
1693.02, 0.00029042, 1693.02, 0.21541782, 1693.02, 0.00644057, 1693.02, 0.00373447, 1693.02, 0.00254743, 1693.02, 0.00053457, 1693.02, -0.00067825, 1693.02, 0.00122417, 
1693.22, 0.00040782, 1693.22, 0.21653857, 1693.22, 0.00615688, 1693.22, 0.00371616, 1693.22, 0.00234261, 1693.22, 0.00053219, 1693.22, -0.00035719, 1693.22, 0.00119722, 
1693.42, 0.00050163, 1693.42, 0.21802675, 1693.42, 0.00583461, 1693.42, 0.00368406, 1693.42, 0.0021822, 1693.42, 0.00045455, 1693.42, -0.00024243, 1693.42, 0.00128337, 
1693.62, 0.00007409, 1693.62, 0.21935239, 1693.62, 0.00550859, 1693.62, 0.00356547, 1693.62, 0.00188761, 1693.62, 0.00051932, 1693.62, 0.00004423, 1693.62, 0.00088662, 
1693.82, -0.00006456, 1693.82, 0.22028053, 1693.82, 0.00516185, 1693.82, 0.00328765, 1693.82, 0.00185137, 1693.82, 0.00051061, 1693.82, 0.00006502, 1693.82, 0.00033924, 
1694.02, 0.00028876, 1694.02, 0.22134603, 1694.02, 0.00479503, 1694.02, 0.00345563, 1694.02, 0.00196226, 1694.02, 0.00061065, 1694.02, 0.0002714, 1694.02, -0.00006505, 
1694.22, 0.00017246, 1694.22, 0.22238656, 1694.22, 0.00476684, 1694.22, 0.00343473, 1694.22, 0.00200606, 1694.22, 0.00041146, 1694.22, 0.00050102, 1694.22, -0.00031901, 
1694.42, -0.0001089, 1694.42, 0.22355069, 1694.42, 0.00449355, 1694.42, 0.00349834, 1694.42, 0.0016962, 1694.42, 0.00087741, 1694.42, 0.00067402, 1694.42, -0.00072633, 
1694.62, -0.00003222, 1694.62, 0.22465239, 1694.62, 0.00474213, 1694.62, 0.00311017, 1694.62, 0.00167175, 1694.62, 0.00133343, 1694.62, 0.00078048, 1694.62, -0.00103224, 
1694.82, 0.00002516, 1694.82, 0.22556371, 1694.82, 0.00483591, 1694.82, 0.00315276, 1694.82, 0.00160067, 1694.82, 0.00133057, 1694.82, 0.00051856, 1694.82, -0.00134575, 
1695.02, -0.00019721, 1695.02, 0.22668959, 1695.02, 0.00492772, 1695.02, 0.00326033, 1695.02, 0.00157695, 1695.02, 0.00147664, 1695.02, 0.00050477, 1695.02, -0.0013149, 
1695.22, -0.00052372, 1695.22, 0.22798845, 1695.22, 0.0047046, 1695.22, 0.00318922, 1695.22, 0.00148723, 1695.22, 0.00150988, 1695.22, 0.00048366, 1695.22, -0.00132789, 
1695.42, -0.00034307, 1695.42, 0.22923561, 1695.42, 0.00501784, 1695.42, 0.00313144, 1695.42, 0.00167501, 1695.42, 0.00134559, 1695.42, 0.00040717, 1695.42, -0.00102704, 
1695.62, -0.00026089, 1695.62, 0.23028059, 1695.62, 0.00512567, 1695.62, 0.00294379, 1695.62, 0.00165355, 1695.62, 0.00091063, 1695.62, 0.00020226, 1695.62, -0.00078786, 
1695.82, -0.0005582, 1695.82, 0.23106704, 1695.82, 0.00534381, 1695.82, 0.00271021, 1695.82, 0.00183246, 1695.82, 0.00092787, 1695.82, 0.00022152, 1695.82, -0.0008192, 
1696.02, -0.00028845, 1696.02, 0.23229107, 1696.02, 0.00532832, 1696.02, 0.0027122, 1696.02, 0.0018247, 1696.02, 0.00098013, 1696.02, 0.00048588, 1696.02, -0.00074496, 
1696.22, -0.00103957, 1696.22, 0.23310456, 1696.22, 0.0058967, 1696.22, 0.00248204, 1696.22, 0.0017906, 1696.22, 0.00077223, 1696.22, 0.00051073, 1696.22, -0.00053943, 
1696.42, -0.00069948, 1696.42, 0.23389189, 1696.42, 0.00582089, 1696.42, 0.0024274, 1696.42, 0.00181053, 1696.42, 0.00040636, 1696.42, 0.00002527, 1696.42, -0.0000801, 
1696.62, -0.0005798, 1696.62, 0.23488839, 1696.62, 0.00612019, 1696.62, 0.00228598, 1696.62, 0.00165598, 1696.62, 0.00049201, 1696.62, -0.00011866, 1696.62, 0.00030583, 
1696.82, -0.00049921, 1696.82, 0.23562725, 1696.82, 0.00587327, 1696.82, 0.00252847, 1696.82, 0.00169569, 1696.82, 0.00067763, 1696.82, -0.00015629, 1696.82, 0.00043041, 
1697.02, -0.00023996, 1697.02, 0.23637756, 1697.02, 0.00576832, 1697.02, 0.00255251, 1697.02, 0.00138147, 1697.02, 0.00054919, 1697.02, -0.00016974, 1697.02, 0.00057523, 
1697.22, -0.00043874, 1697.22, 0.23748992, 1697.22, 0.00576199, 1697.22, 0.00221945, 1697.22, 0.00112156, 1697.22, 0.00045551, 1697.22, -0.00045553, 1697.22, 0.00064792, 
1697.42, -0.00038726, 1697.42, 0.23867345, 1697.42, 0.00562461, 1697.42, 0.001715, 1697.42, 0.00122656, 1697.42, 0.00037089, 1697.42, -0.00048725, 1697.42, 0.00055345, 
1697.62, -0.00067122, 1697.62, 0.23935826, 1697.62, 0.00561263, 1697.62, 0.00149532, 1697.62, 0.0011773, 1697.62, 0.0001636, 1697.62, -0.00041161, 1697.62, 0.00046576, 
1697.82, -0.0007529, 1697.82, 0.2397613, 1697.82, 0.00557408, 1697.82, 0.00156588, 1697.82, 0.00090236, 1697.82, -0.00022331, 1697.82, -0.00081023, 1697.82, 0.00023691, 
1698.02, -0.00040381, 1698.02, 0.24024496, 1698.02, 0.00555447, 1698.02, 0.00179461, 1698.02, 0.0007454, 1698.02, -0.00009012, 1698.02, -0.00078092, 1698.02, -0.00005456, 
1698.22, -0.00040248, 1698.22, 0.24131191, 1698.22, 0.005861, 1698.22, 0.0019927, 1698.22, 0.00061937, 1698.22, 0.00001659, 1698.22, -0.00091571, 1698.22, -0.00036827, 
1698.42, -0.00029341, 1698.42, 0.24197363, 1698.42, 0.00601994, 1698.42, 0.00232474, 1698.42, 0.00041122, 1698.42, 0.00062885, 1698.42, -0.0007199, 1698.42, -0.00064494, 
1698.62, -0.00006911, 1698.62, 0.24248376, 1698.62, 0.00634654, 1698.62, 0.00221442, 1698.62, 0.00047038, 1698.62, 0.0006501, 1698.62, -0.00071513, 1698.62, -0.00082089, 
1698.82, 0.00002349, 1698.82, 0.24306892, 1698.82, 0.00631517, 1698.82, 0.00263353, 1698.82, 0.00033926, 1698.82, 0.00071054, 1698.82, -0.00067048, 1698.82, -0.00085336, 
1699.02, 0.00004971, 1699.02, 0.24385723, 1699.02, 0.0063309, 1699.02, 0.00277024, 1699.02, 0.00024963, 1699.02, 0.00048014, 1699.02, -0.00068345, 1699.02, -0.00090277, 
1699.22, 0.00008357, 1699.22, 0.2447671, 1699.22, 0.00644939, 1699.22, 0.0030383, 1699.22, 0.00034638, 1699.22, 0.00041404, 1699.22, -0.00035585, 1699.22, -0.00077152, 
1699.42, 0.00047758, 1699.42, 0.24555321, 1699.42, 0.00666468, 1699.42, 0.00351344, 1699.42, 0.00050044, 1699.42, 0.00011809, 1699.42, -0.00042858, 1699.42, -0.00061168, 
1699.62, 0.00072547, 1699.62, 0.24578464, 1699.62, 0.00653422, 1699.62, 0.00373676, 1699.62, 0.00029872, 1699.62, 0.0005007, 1699.62, -0.00040686, 1699.62, -0.00059675, 
1699.82, 0.00060862, 1699.82, 0.24649765, 1699.82, 0.00669321, 1699.82, 0.00394112, 1699.82, 0.00019382, 1699.82, 0.00058129, 1699.82, 0.00002153, 1699.82, -0.00064715, 
1700.02, 0.00064124, 1700.02, 0.24738734, 1700.02, 0.00679579, 1700.02, 0.00407365, 1700.02, 0.00004771, 1700.02, 0.0007804, 1700.02, 0.00025875, 1700.02, -0.00041741, 
